time,acceleration,activity
1281.201,-0.5709,walk
1577.721,-8.0999,trot
1421.401,-5.1051,walk
310.811,-2.7121,unknown
2714.401,-4.518,walk
1898.801,-2.7543,unknown
2252.101,-3.6848,walk
549.121,-1.2796,unknown
2037.921,-1.4278,walk
82.351,-1.1517,unknown
3395.601,-1.6965,unknown
135.751,-1.2524,unknown
1216.521,-1.5755,walk
763.231,-2.8157,unknown
1333.761,-1.9363,walk
2581.791,-2.39,walk
107.791,-1.4352,unknown
3231.061,-5.0761,walk
219.171,-1.2803,unknown
2951.131,-3.9059,unknown
535.441,-1.2417,unknown
1963.431,-2.804,unknown
1866.561,-2.5567,unknown
2605.781,-3.4561,walk
2242.991,-2.5392,walk
2539.621,-5.8749,walk
2534.251,-4.1627,walk
14.051,-2.3844,unknown
1830.191,-2.6706,unknown
2575.981,0.5355,walk
2692.641,-3.0313,walk
1782.301,-3.6843,walk
720.261,-3.0173,unknown
652.421,-3.0677,unknown
2257.371,-2.0556,walk
1321.201,-2.4917,walk
2713.051,-3.3771,walk
1305.131,-3.6213,walk
2499.471,-3.6301,walk
3833.101,-1.7214,unknown
1738.621,-1.2074,walk
1923.411,-2.7987,unknown
1962.021,-2.7162,unknown
1649.641,-4.4704,walk
63.501,-1.3254,unknown
1676.661,-2.2874,walk
642.821,-2.7846,unknown
2918.861,-3.6558,walk
3835.791,-2.2832,unknown
2923.071,-4.2569,walk
1477.391,-3.0645,walk
393.601,-2.6989,unknown
856.931,-2.6123,unknown
1667.211,-0.5712,walk
597.811,-2.7932,unknown
3039.411,-1.4725,walk
603.931,-2.6315,unknown
725.171,-3.1541,unknown
3368.411,-1.6703,walk
2838.871,-3.8378,walk
825.381,-3.9489,unknown
1392.861,-2.6438,walk
3095.201,-0.8654,walk
3536.631,-4.4515,walk
1469.131,-0.6908,walk
1016.661,-3.4823,walk
1776.471,1.4733,walk
504.751,-1.2537,unknown
1923.801,-2.7989,unknown
2387.981,-4.5662,walk
1132.811,-1.3021,walk
